n_sections,condition_number,tensor_shape_error
3.000000000000000000e+00,2.133711015402680999e+01,4.168776188307134478e-01
3.000000000000000000e+00,1.060479009659528415e+01,1.684254144794740782e+00
3.000000000000000000e+00,2.166135569699433550e+00,1.255312412984404269e-01
3.000000000000000000e+00,4.301766826204807437e+00,1.951717990782442791e-01
3.000000000000000000e+00,1.135096642012202217e+01,9.022925081110133760e+01
3.000000000000000000e+00,8.047586677738729932e+00,4.293695105328100281e-01
3.000000000000000000e+00,2.899113145453274587e+00,2.842829882302497224e-01
3.000000000000000000e+00,1.023638766472499029e+01,9.896282904841491757e+01
3.000000000000000000e+00,1.317416959959462908e+01,2.869141880162059954e-01
3.000000000000000000e+00,2.864238828407526416e+00,1.908607990287136957e-01
3.000000000000000000e+00,8.295917182746475049e+00,7.317891528477908636e-02
3.000000000000000000e+00,7.864582135512931060e+00,2.285533141379794408e-01
3.000000000000000000e+00,2.799029193560550688e+00,1.376749067597649590e-01
3.000000000000000000e+00,1.038537676554529376e+01,9.310423827703272082e+01
3.000000000000000000e+00,4.385784367123623184e+00,2.070713546311994946e-01
3.000000000000000000e+00,3.172757870308751116e+00,1.979092675047856853e-01
3.000000000000000000e+00,2.040454787002338577e+01,4.840678190626118704e-01
3.000000000000000000e+00,2.383679174780838128e+00,4.595450733020017137e-02
3.000000000000000000e+00,8.047586677738738814e+00,4.293695105327973716e-01
3.000000000000000000e+00,8.027125312815883262e+00,1.323400300972413790e-01
3.000000000000000000e+00,5.278311549271274217e+00,5.535538996697689784e-01
3.000000000000000000e+00,1.582528324969613287e+01,9.466408639449125362e-02
3.000000000000000000e+00,2.478806702933213924e+00,2.385426432865722368e-01
3.000000000000000000e+00,2.883444886277773733e+00,9.425745120005825373e-02
3.000000000000000000e+00,5.873472288051478252e+00,5.826344768768842303e-02
3.000000000000000000e+00,3.571200952136688311e+00,1.101657969735428400e-01
3.000000000000000000e+00,5.559189333035964076e+00,3.678419342518294832e-01
3.000000000000000000e+00,4.902379359048107510e+00,9.180312319383844566e-02
3.000000000000000000e+00,1.586893540830373617e+01,1.753031436298477519e-01
3.000000000000000000e+00,2.631969697531248986e+00,5.940027899555216234e-02
3.000000000000000000e+00,3.803107654994146714e+00,3.731043213144759618e-01
3.000000000000000000e+00,6.131311974513080187e+00,1.461522715402199246e-01
3.000000000000000000e+00,2.233926629345240222e+00,1.457361848403411209e-01
3.000000000000000000e+00,1.023638766472499562e+01,9.896282910344565664e+01
3.000000000000000000e+00,1.084604226232938373e+01,4.176572874715370753e-01
3.000000000000000000e+00,2.957196326562612221e+00,1.188928748302301719e-01
3.000000000000000000e+00,3.706040821665793406e+00,2.362034016005441217e-01
3.000000000000000000e+00,4.268369701798160776e+00,1.771489367964444450e-01
3.000000000000000000e+00,6.321652941774693168e+00,2.401869923740730384e-01
3.000000000000000000e+00,2.280215969558154310e+00,9.158712678355132586e-02
3.000000000000000000e+00,6.500634501734800175e+00,1.095725517202086885e-01
3.000000000000000000e+00,7.646465627911572582e+00,3.107641682895297963e-01
3.000000000000000000e+00,3.259834964790270018e+00,8.430937374312878763e-02
3.000000000000000000e+00,7.130336157177173284e+00,3.319873845750652142e-01
3.000000000000000000e+00,1.812995171579317955e+01,1.770849488578723208e-01
3.000000000000000000e+00,4.654887492488925638e+00,5.215065050135826025e-02
3.000000000000000000e+00,1.037939381709154141e+01,1.803464642984642818e+00
3.000000000000000000e+00,9.827302106738427412e+00,1.220757779098086693e-01
3.000000000000000000e+00,3.683763567688974838e+00,1.572947839757913024e-01
3.000000000000000000e+00,3.176292301827654097e+00,1.056461608721003115e-01
3.000000000000000000e+00,1.297090726102180547e+01,3.277416334742201953e-01
3.000000000000000000e+00,4.385784367123619631e+00,2.070713546311991338e-01
3.000000000000000000e+00,2.653707220529579303e+00,8.459902592048269832e-02
3.000000000000000000e+00,2.164992007035814847e+00,1.061680749571695392e-01
3.000000000000000000e+00,8.540725852678725971e+00,1.777369424177068225e-01
3.000000000000000000e+00,1.129503384281396805e+01,2.520288709293165841e-01
3.000000000000000000e+00,3.604783660174863513e+00,2.727662537813773103e-01
3.000000000000000000e+00,1.201168722310870152e+01,2.819512083856168805e-01
3.000000000000000000e+00,6.061306881977853500e+00,1.741642655486134728e-01
3.000000000000000000e+00,5.474511836434396095e+00,1.348850646869014513e-01
3.000000000000000000e+00,8.295917182746498142e+00,7.317891528477767082e-02
3.000000000000000000e+00,6.131311974513080187e+00,1.461522715402189809e-01
3.000000000000000000e+00,3.784376323475028503e+00,2.724601588017061538e-01
3.000000000000000000e+00,1.207878055798636652e+01,1.463706084913445615e-01
3.000000000000000000e+00,5.763289452194332974e+00,1.542995116557772106e-01
3.000000000000000000e+00,2.166135569699433994e+00,1.255312412984403436e-01
4.000000000000000000e+00,2.505961769257307292e+00,1.348204603540065771e-01
4.000000000000000000e+00,8.356927897225604696e+00,1.931469390112743878e-01
4.000000000000000000e+00,2.258839442373152817e+00,4.857401053657148943e-02
4.000000000000000000e+00,2.714115371345747540e+00,1.756746862254696395e-01
4.000000000000000000e+00,2.145314479773487992e+00,1.529698383720228261e-01
4.000000000000000000e+00,3.499812359785032356e+00,2.540640288295177851e-01
4.000000000000000000e+00,2.291154264958978448e+00,1.150940455549145092e-01
4.000000000000000000e+00,2.825679633951145853e+00,3.095556810706171641e-02
4.000000000000000000e+00,2.314784260675031735e+00,7.731840117985540328e-02
4.000000000000000000e+00,2.481367835977816849e+00,2.507467834725626288e-01
4.000000000000000000e+00,5.423004450753775352e+00,3.735145222491711992e-01
4.000000000000000000e+00,3.745562712163163166e+00,2.089379017531283744e-01
4.000000000000000000e+00,2.230703214381839938e+00,1.273284369016396134e-01
4.000000000000000000e+00,8.848022383279843694e+00,1.462520556935179294e-01
4.000000000000000000e+00,3.168132219126783777e+00,1.052035288016216485e-01
4.000000000000000000e+00,3.985813480078320037e+00,1.277073540235497406e-01
4.000000000000000000e+00,2.661534714042666394e+00,1.046890835322536739e-01
4.000000000000000000e+00,2.348147903427985739e+00,1.825354240012898588e-01
4.000000000000000000e+00,2.667360394958754100e+00,1.327249754379869473e-01
4.000000000000000000e+00,3.085111433665789882e+00,1.057225265883353915e-01
4.000000000000000000e+00,2.200982225966269468e+00,8.590520829910761047e-02
4.000000000000000000e+00,1.987972245543659033e+00,1.377217429454679343e-01
4.000000000000000000e+00,2.789770430706039139e+00,1.507245364819732036e-01
4.000000000000000000e+00,8.476681959329637195e+00,9.394587051780347053e+01
4.000000000000000000e+00,2.261880789707654937e+00,9.623657414354927497e-02
4.000000000000000000e+00,8.282599814127856064e+00,1.922533089803543094e-01
4.000000000000000000e+00,2.937230524630771722e+00,1.798569566990761426e-01
4.000000000000000000e+00,2.425613650585489722e+00,3.961141509793771054e-02
4.000000000000000000e+00,2.865649628845645225e+00,1.145123660946403277e-01
