experiment,seed,porosity,anisotropy_true,section_size,theta_step_deg,interpolation_order,anisotropy_recovered,tensor_shape_error,orientation_error_deg,condition_number
main,40506,0.35,4.0,128,5.0,1,4.842744086308961,0.1284429139614318,4.323571336102603,1.4142135623730947
main,40507,0.15,4.0,128,5.0,1,4.232764222653586,0.16774027584169054,9.29802246267667,1.4142135623730947
main,40507,0.25,4.0,128,5.0,1,4.262276806749177,0.15125328140321745,5.643290321342424,1.4142135623730947
main,40507,0.35,4.0,128,5.0,1,4.0908226578946065,0.06896584695906208,3.0785156158244327,1.4142135623730947
main,40508,0.15,4.0,128,5.0,1,3.7578932769435207,0.10655102588903738,1.3856748208770926,1.4142135623730947
main,40508,0.25,4.0,128,5.0,1,3.751468887359616,0.1674909319528819,13.136177482468923,1.4142135623730947
main,40508,0.35,4.0,128,5.0,1,3.58521188790949,0.1987372422719175,17.52562442191742,1.4142135623730947
main,40509,0.15,4.0,128,5.0,1,7.393442412742889,0.5941863484126285,2.3425551630688686,1.4142135623730947
main,40509,0.25,4.0,128,5.0,1,6.153637446321419,0.39067383225959423,4.273415153988001,1.4142135623730947
main,40509,0.35,4.0,128,5.0,1,6.31194003153354,0.4435328225818841,3.0614936873639578,1.4142135623730947
main,40510,0.15,4.0,128,5.0,1,3.1607198386197237,0.195348450217475,13.641694634722239,1.4142135623730947
main,40510,0.25,4.0,128,5.0,1,3.208918549840872,0.1760878971936904,6.633160411806109,1.4142135623730947
main,40510,0.35,4.0,128,5.0,1,4.2752889585447,0.0955454374573863,4.636803604132467,1.4142135623730947
main,40511,0.15,4.0,128,5.0,1,4.081400540882853,0.11377186313114672,6.011559597352734,1.4142135623730947
main,40511,0.25,4.0,128,5.0,1,4.154050906074644,0.17115666409262212,10.823282894581062,1.4142135623730947
main,40511,0.35,4.0,128,5.0,1,3.809278842669835,0.12070651972233011,11.948003352837322,1.4142135623730947
main,40512,0.15,4.0,128,5.0,1,2.9886718483871872,0.21323748340601473,9.637757265305245,1.4142135623730947
main,40512,0.25,4.0,128,5.0,1,3.301074957992939,0.15538468459315838,4.1541494320117485,1.4142135623730947
main,40512,0.35,4.0,128,5.0,1,3.4440086536219887,0.14727508759672914,4.434427975145914,1.4142135623730947
main,40513,0.15,4.0,128,5.0,1,17.678984940710393,1.6832668444448982,6.097689266787538,1.4142135623730947
main,40513,0.25,4.0,128,5.0,1,4.789200339033539,0.18159816849410917,2.38769428749336,1.4142135623730947
main,40513,0.35,4.0,128,5.0,1,4.799820621615062,0.1800523319484216,2.4030222138071182,1.4142135623730947
main,40514,0.15,4.0,128,5.0,1,7.6594830481952405,0.5875433666702045,3.128074472390379,1.4142135623730947
main,40514,0.25,4.0,128,5.0,1,7.8615074028641185,0.6178936966058137,9.31586271904113,1.4142135623730947
