subvolume_id,grid_i,grid_j,grid_k,center_a0,center_a1,center_a2,porosity,A_ref,ell_geom_ref,major_gap,orientation_reliable,seed_eta_median,seed_pair_median,seed_pair_max,seed_A_sd,seed_ell_geom_cv,q00,q11,q22,q01,q02,q12
G10,1,0,1,1250,384,1250,0.29914887249469757,3.0147934148292204,27.082126481477868,0.14997471966984718,True,0.10257822998947379,0.0257567968562455,0.07772911358552705,0.12435437887174626,0.03136366180870736,0.00414639347481089,0.0007460641923945369,0.0018335945902563304,0.00011187938906013696,0.0020312682640622856,-5.3701323817146965e-05
G11,1,0,2,1250,384,2116,0.19168321043252945,1.1417544622740725,9.661435872924983,0.07918191324733082,False,0.01551385103259279,0.04061019337166123,0.06563172612703753,0.031125866328331756,0.02478290105166705,0.010024853254148714,0.010811295367488781,0.01149354800525691,-0.00036176913062610077,-0.0011082551470424846,-0.0003286164414816287
G12,1,1,0,1250,1250,384,0.22516444325447083,1.4298091654924991,11.850841799659415,0.040453448105155755,False,0.02533770873543225,0.05270120858889049,0.09431836805804492,0.02408410957469118,0.00655633085164113,0.008558276010949935,0.008350742313826176,0.00563463135689719,-0.00258539059624813,0.0006872804924252346,-0.0004391461470995658
G13,1,1,1,1250,1250,1250,0.22565266489982605,1.297825619895529,15.612681433105456,0.12470652770257559,True,0.01849756019941802,0.06399485022446658,0.07375036776571406,0.024781452309636434,0.027869857770629933,0.004534407222184416,0.004212495390050158,0.0038403915512652694,-0.0009268301933772687,-0.00027664636803201753,-0.0003373913506962581
G14,1,1,2,1250,1250,2116,0.1791893169283867,1.174736499397312,11.29303760072707,0.04656822846353191,False,0.02245571842829819,0.06584182565605234,0.08911423797770185,0.026285139828226747,0.005445683582428118,0.007927667101269157,0.007620181323411885,0.00819503193892029,0.0006948548330124164,-0.0005422654927742524,-0.0009727546532952097
G15,1,2,0,1250,2116,384,0.23506319522857666,1.3189508012275877,11.739072735103404,0.05730240946071111,False,0.014948734672554751,0.052189295871588076,0.08218222274129636,0.0337215978239601,0.01619000653317823,0.0063500398984487425,0.00913322548407574,0.006936594719857533,-0.00037560695438370613,0.00016189930002960513,0.0017184612712139674
G16,1,2,1,1250,2116,1250,0.24115228652954102,1.1432587270087382,10.674630534074494,0.04442797685538521,False,0.013691654397300445,0.047798775139602075,0.08764319254463722,0.03021685618020883,0.013888199035496445,0.009076737601857251,0.008539431524366233,0.008876886070480573,-0.00011241712052750051,0.0011253088999963108,-0.00038119763455837763
G17,1,2,2,1250,2116,2116,0.10132793337106705,1.0906274331774473,6.675468242674951,0.0483738350108739,False,0.012414423091616385,0.05764543427192657,0.10015042112043368,0.026274571246243814,0.017774193094176657,0.02067531441462427,0.022766614028500942,0.02404964551097361,7.570434063179455e-05,-0.0008089339830923255,-0.00046887327088194065
G18,2,0,0,2116,384,384,0.25145164132118225,1.2534373005068355,10.7759387094918,0.0664447807387579,False,0.01743454189950683,0.05069311102863932,0.08113220715180575,0.0456280364221871,0.008065379918464913,0.008969373536415103,0.00861226519200578,0.008730208187854438,-0.0009425688445972657,0.0009684944590767182,-0.0015942179843247497
G19,2,0,1,2116,384,1250,0.21144700050354004,1.2288895966356692,9.725118773405077,0.13077261299185716,True,0.015009948945484422,0.05457917049238679,0.1321142476145784,0.023358312721733172,0.009524978595055161,0.010123923786681779,0.01060573046987597,0.011449533214483524,-0.0019482020501648961,0.0005469690678862639,-0.0003866926764224192
G20,2,0,2,2116,384,2116,0.2066245600581169,1.2803912238795307,9.33703566621197,0.10459100599629591,True,0.015243883926092284,0.05222686753287547,0.10346393589004696,0.022880082975546067,0.015222927197614169,0.012566681020449534,0.010161004872847679,0.012396902613213195,-0.0017352581714423971,-0.0012098392511363588,0.0014876064614524254
G21,2,1,0,2116,1250,384,0.21864064782857895,1.1628820213926092,12.380109922430792,0.07317977187757259,False,0.024708383154037405,0.042661170537104845,0.07458919290872035,0.022408337945724353,0.009801232164607697,0.006417778460448263,0.007454306911623188,0.005850387127898166,-0.00029282544629853364,-0.0004418817739924071,0.0001872467199442654
G22,2,1,1,2116,1250,1250,0.20802560448646545,1.2674115324720756,15.050439445223734,0.14328856942641297,True,0.020928294272496237,0.0643841078342815,0.10045756482120424,0.033559283754114495,0.016104781102371273,0.003536470221068567,0.005325278503891805,0.004633276187308036,-0.0005059086947921059,-4.5430083542861475e-05,-6.767262756120276e-05
G23,2,1,2,2116,1250,2116,0.25552285462617874,1.6978164674609912,18.941474735616374,0.22194716520778568,True,0.021636568980368965,0.03778930009973527,0.061054684863435967,0.030322943810424108,0.01820580831156176,0.0030405591678599937,0.0031211727214565687,0.0030073874565225865,-0.0008241592363814748,-0.001292195991229362,0.0003951142563271869
G24,2,2,0,2116,2116,384,0.18766217678785324,1.1698701234496096,7.224983144030284,0.04374815321335146,False,0.014447078030041168,0.0628977382668264,0.07524590450029792,0.020699891487349138,0.027700528310290514,0.01802086568281044,0.022450596116941942,0.01751146147344649,-0.000848537386203124,-0.000954755994556473,0.0011334828657496273
G25,2,2,1,2116,2116,1250,0.1775028556585312,1.2366603959815439,13.410125357155515,0.09924527466627368,False,0.01970734114856055,0.05242256165848441,0.07434980904863257,0.02187946289858392,0.008920817550797898,0.006115681778391723,0.005378645077266207,0.0054401098954315365,0.0007979888669134816,-0.0007768325367816217,0.0001378335805792212
G26,2,2,2,2116,2116,2116,0.26681938022375107,1.3306990106404204,16.742000495276397,0.04380129471471247,False,0.020333852306237944,0.040348275538682005,0.06959890432178185,0.029451111642986347,0.016602334417367744,0.0032432429087290117,0.0031468164662491966,0.0046707743417127605,8.8159763603921e-05,0.000537440822434695,0.00065122132238913
