subvolume_id,n_per_orientation,total_sections,E_median,E_q1,E_q3,E_p05,E_p95,A_ref,A_sparse_median,A_sparse_q1,A_sparse_q3,abs_A_error,eta_sparse_median,phi_rms_median,orientation_reliable
G04,1,3,0.2575274604407055,0.18752164160393403,0.34059618067983943,0.1214740839748262,0.48118007790912815,1.2646030482440807,1.4538076000920968,1.3283206105860965,1.615950983515405,0.1892045518480161,0.12084179772480669,0.021413996981591715,False
G04,3,9,0.1347523376575061,0.10038877753025863,0.16836944612771682,0.06063058955428243,0.24742425073901084,1.2646030482440807,1.2932562833353058,1.2307066372713023,1.3539343319255952,0.028653235091225193,0.1933970958746591,0.010975218688429971,False
G04,5,15,0.10062061052536203,0.07571654114243845,0.12517042391980684,0.049869857836745565,0.17240861322027207,1.2646030482440807,1.2620114586620985,1.214182194243391,1.307489204220214,0.0025915895819821344,0.20903428928153028,0.008454422526709427,False
G04,7,21,0.08508779874715712,0.06539285524130911,0.11120370927986589,0.043703957967727323,0.14421334465256405,1.2646030482440807,1.2500821502215902,1.2127304899983917,1.279841469546488,0.014520898022490458,0.21300616425622,0.0060335823157645465,False
G05,1,3,0.18636480475641112,0.14040155099474458,0.24272942010270013,0.08027238127989537,0.3126427124945663,1.1215405739841444,1.3038812139571363,1.2380975307195046,1.377572248959183,0.18234063997299188,0.06466005612979528,0.017937348543036215,False
G05,3,9,0.09856520520897111,0.0780416195804187,0.12300586265794947,0.04925458742421909,0.16452871026283775,1.1215405739841444,1.1829525587307943,1.1480986246961722,1.2306494574166864,0.061411984746649884,0.13794243528225292,0.01305805692855433,False
G05,5,15,0.06742370451687395,0.052294492043599365,0.08549148188641209,0.03662620378951609,0.11366585323911144,1.1215405739841444,1.162753889683383,1.1463832050193825,1.1950985610355276,0.04121331569923847,0.14367887197571266,0.00845351088945017,False
G05,7,21,0.05304878693355782,0.042607889989763455,0.06582036098526664,0.027630566724875277,0.08676730199955528,1.1215405739841444,1.1634823820146147,1.1399061311869474,1.1862006546916126,0.04194180803047032,0.14342698974446152,0.00678000385939973,False
G06,1,3,0.1709991609789844,0.12652142011004738,0.22874350175274505,0.08802343379072071,0.3198340566146518,1.1069623367529824,1.2698691171396619,1.2261590010214682,1.3435832897217315,0.1629067803866795,0.05834645122817226,0.028416860094407075,False
G06,3,9,0.10406504210932928,0.08151714042019001,0.1327904973974661,0.05094591911608711,0.16712678455319763,1.1069623367529824,1.1971926273738538,1.164752943728362,1.2350137766992233,0.0902302906208714,0.1147666812639714,0.013665256782893254,False
G06,5,15,0.0851465258518058,0.07006357694215284,0.10171309936589856,0.051057847063894636,0.13157157459663446,1.1069623367529824,1.1818477435142423,1.155691399950613,1.2066180777377136,0.07488540676125988,0.1275759994661887,0.010762464573231836,False
G06,7,21,0.07397762848297482,0.060502382905365845,0.08960053371729153,0.04229334015005816,0.10538552875642343,1.1069623367529824,1.175741485236858,1.1560492566585883,1.1922348591226428,0.06877914848387556,0.13679756913060342,0.00805635087376207,False
G07,1,3,0.18756496682902796,0.15399731102208208,0.2288214962288806,0.1017434752829231,0.3350283879086396,1.188699457331085,1.3101494268153586,1.2345882540320507,1.4260270614737456,0.12144996948427367,0.06786705827267239,0.02789019315350412,False
G07,3,9,0.0935349556439955,0.06976186577283033,0.1226666078667799,0.04972528377169977,0.17341768039751024,1.188699457331085,1.2171096495023348,1.1678610502585416,1.2651770304050245,0.02841019217124985,0.11359267113845567,0.016042391037297724,False
G07,5,15,0.06849865633024876,0.049020720067430884,0.08565650626245692,0.03240554154593117,0.11504253201277011,1.188699457331085,1.1954999173466119,1.1697670710373114,1.2369163718171614,0.006800460015526921,0.12264689515602856,0.011348081033577297,False
G07,7,21,0.050953319539666364,0.04131315285385436,0.06757587965633284,0.029566576819079902,0.09380679498676402,1.188699457331085,1.1934698734354896,1.161472724827382,1.2239513411910694,0.004770416104404651,0.12321912763144396,0.009113815557921488,False
G08,1,3,0.15141518952513502,0.11527615707799418,0.19011708382633075,0.0744314842975261,0.27350187227774914,1.2545141928859807,1.3542611010971402,1.2419463997617481,1.4028421055994258,0.0997469082111595,0.057804185935785055,0.025107475660751433,True
G08,3,9,0.09150550778915985,0.06951491254733227,0.11033591581245875,0.0423786538681703,0.1624514284501183,1.2545141928859807,1.2797805522342003,1.244434560091101,1.3155532061807609,0.025266359348219636,0.09422076571101384,0.012383395006460612,True
G08,5,15,0.07379556808111393,0.05452783698254064,0.09269553148451101,0.03427555414544769,0.1240890190503007,1.2545141928859807,1.2574963529897953,1.2341339449435338,1.2972356483180942,0.0029821601038146905,0.10176820483074847,0.009147634577910783,True
G08,7,21,0.06078448332720175,0.047344545677771535,0.08103079370563285,0.026944211941996404,0.10067671003581603,1.2545141928859807,1.2541226927555178,1.2346538348762905,1.2740489825979295,0.0003915001304628518,0.10491488965813776,0.007240758558946885,True
G09,1,3,0.1766708394454238,0.13773321091855736,0.2324708149774818,0.08202170076065876,0.3251676295590466,1.2443181619658943,1.3234444892206123,1.2200723931826185,1.3977127804784348,0.07912632725471802,0.07396497480711509,0.020454424885455694,False
G09,3,9,0.10060247481031678,0.08175876454360514,0.12991197521079859,0.058445529833798755,0.17737434414834108,1.2443181619658943,1.2653461660054663,1.2133973900428545,1.3125998140982609,0.021028004039572057,0.1155261015600125,0.012032413235176512,False
G09,5,15,0.07496803443116885,0.05893957425975125,0.10061181218379132,0.03843261326434844,0.13121341952808568,1.2443181619658943,1.2380573680307587,1.2131862015142696,1.2731173533421807,0.006260793935135567,0.12132797045313254,0.008679972723916405,False
G09,7,21,0.0673167102707757,0.05307132397445594,0.0856364283675704,0.03463181581736767,0.11211110240357951,1.2443181619658943,1.2309542010175094,1.2128206783491389,1.246672001138014,0.013363960948384879,0.12314168820025091,0.006275848376422826,False
G10,1,3,0.21164805499845013,0.15534275856022348,0.26767233691960973,0.0983571721477065,0.3383219047375046,1.2132540891567019,1.376228519055751,1.278202792418737,1.521117468949008,0.1629744298990492,0.07340030714099871,0.027923012702266835,False
G10,3,9,0.11884936151301509,0.09256280112795076,0.14889629552106226,0.0547120057113629,0.19557155292453196,1.2132540891567019,1.3064778504675951,1.2355776543054235,1.3663842284346204,0.09322376131089327,0.11745606832550293,0.016530218922870474,False
G10,5,15,0.08381735548166783,0.06997182431256067,0.10385590329257545,0.04436767579648866,0.14430744494055678,1.2132540891567019,1.2828083166795485,1.2415314641652704,1.3195551955980205,0.06955422752284668,0.12531938657513852,0.010439963877104481,False
G10,7,21,0.07880787737602893,0.06402588295817291,0.09274109870446265,0.05122151409477609,0.11447488891132003,1.2132540891567019,1.2705001140230308,1.2493891703362596,1.3018918554937027,0.057246024866328904,0.12856644870261008,0.008467246736437265,False
G11,1,3,0.1752008147676571,0.12974037125787014,0.2244598902742861,0.09220583000845056,0.3046934962192683,1.1043763265847821,1.2501795180685598,1.1851895470563338,1.3153331191068487,0.14580319148377763,0.06973605306578012,0.02753315152190206,False
