subvolume_id,grid_i,grid_j,grid_k,center_a0,center_a1,center_a2,porosity,A_ref,ell_geom_ref,major_gap,orientation_reliable,seed_eta_median,seed_pair_median,seed_pair_max,seed_A_sd,seed_ell_geom_cv,q00,q11,q22,q01,q02,q12
G10,1,0,1,1250,384,1250,0.22940269857645035,1.2132540891567019,16.78256985817874,0.07944179140735688,False,0.013249585312956483,0.022538766929469357,0.02533002502382195,0.006897013742407158,0.007758509300667587,0.00355674309695152,0.003010506401631035,0.0042193224754157165,-0.00014757095845772166,0.00024527559508530974,-0.00021580521291512004
G11,1,0,2,1250,384,2116,0.23434482514858246,1.1043763265847821,16.282655984714143,0.0371312447924767,False,0.008689749741974707,0.0358994784822404,0.04706982792669169,0.015256227084930607,0.01896832754633864,0.0036906861918940916,0.003666212448539736,0.003996724092104461,-3.985024547988562e-05,0.0002739750814268679,0.0001902629068876219
G12,1,1,0,1250,1250,384,0.21228201687335968,1.1249730298277718,15.54619097610636,0.05469810515442937,False,0.009759684136802307,0.04068295087126926,0.05872379757752966,0.02656436177678736,0.009559136171033971,0.004025123468645499,0.004329885888766877,0.004115473234761143,-6.582768551438893e-06,0.00027259338923738317,-0.00037595272866010934
G13,1,1,1,1250,1250,1250,0.1858009397983551,1.1305540126878935,15.550939738066115,0.051566182151949184,False,0.01420124700516593,0.04605032787678976,0.05737829745620035,0.014414515561680129,0.010664883852316608,0.003980618775712285,0.004195248621181718,0.004292533908760737,2.7881149875393947e-06,0.00032703472897180986,-0.0003641822746275099
G14,1,1,2,1250,1250,2116,0.19765722006559372,1.157834699146013,15.250247429847217,0.07315703478543371,False,0.008949726623183473,0.04851309672293791,0.07805087703946204,0.01959897805474872,0.011600694130189973,0.0043353861142483244,0.004637644918377517,0.004018697498238895,0.00023780841666632804,0.00043896221261207914,0.0002315949233135708
G15,1,2,0,1250,2116,384,0.21695341169834137,1.1246973019381703,16.50123556595126,0.0770285051639523,False,0.0121306624801865,0.024343737168395115,0.03196130212929107,0.016528599663374003,0.007556888087309723,0.0035474611060759614,0.0038454617657346546,0.0036770192731889217,-7.056626662241482e-05,0.0003068228996650404,0.0002575421516742441
G16,1,2,1,1250,2116,1250,0.22014259546995163,1.1714388552355979,18.1359373133486,0.05354574853846012,False,0.009604328525223584,0.04437676511843762,0.050978432840798636,0.01653079276819175,0.007157989760259146,0.003050829767767484,0.002675801975375672,0.003474197728879435,-1.3971949983891753e-05,0.00026451095519503903,0.0001502224719289675
G17,1,2,2,1250,2116,2116,0.22008247673511505,1.2118937452568719,15.696931253895581,0.060205751864323094,False,0.009338591259762418,0.028135355904320626,0.04652500352083067,0.014948831132517928,0.0054579942699013815,0.003977283211386118,0.004168750125562694,0.004189623741856227,-0.0002084460620513722,0.0005785674408540629,-0.0005416392144314602
G18,2,0,0,2116,384,384,0.22930020093917847,1.317335870208106,16.302587440960576,0.1152996921074935,True,0.011899337073656377,0.03816429909680889,0.05314715521899175,0.02616920439018287,0.00767701865369169,0.0037557939612058956,0.0035139964171172775,0.004309725711106203,-0.00019155555416297573,0.00022925514904766333,-0.0009447064163898901
G19,2,0,1,2116,384,1250,0.2160029634833336,1.2850257383651698,14.864272068241041,0.09832234380922474,False,0.009245813613211081,0.03440566985178522,0.04576867147798569,0.008153181091103377,0.004452986826746516,0.004756694533714488,0.003681111129877222,0.00543335501035011,-0.00023750087109158897,0.0006121211093441178,-0.0004260078929396465
G20,2,0,2,2116,384,2116,0.21611832082271576,1.2542220379027502,17.04437328680559,0.09636035933656607,False,0.008820114226871656,0.03219660667867672,0.039520597640320475,0.020087747680168057,0.005038475741285544,0.003419374718655634,0.0031161877480145,0.003970523460771848,-1.308122544519241e-05,0.00027979019846796155,0.0006099718905572284
G21,2,1,0,2116,1250,384,0.22329430282115936,1.2553603350428437,15.611341728698827,0.16712603435407614,True,0.01377235074694444,0.03190449921685663,0.05281385692018962,0.021052393557426625,0.004851387528026106,0.0044690720022416645,0.004719725119234198,0.003350831555792456,-4.603637659291062e-05,0.0003831087811986543,-0.00045211448739788116
G22,2,1,1,2116,1250,1250,0.18903576582670212,1.2002917636882087,13.649949039407387,0.09845009230611683,False,0.015064704071489547,0.048177057864237274,0.07134349858934894,0.02714027279613203,0.009019143560094013,0.004856611927496875,0.005655187405639438,0.005768441328367154,0.0003823451131539824,0.00032721980218924413,-0.0006747804022760319
G23,2,1,2,2116,1250,2116,0.22651048749685287,1.2622835366574883,18.46183139343481,0.08633079518118594,False,0.011052011726838461,0.02897455814557618,0.05308964852917807,0.024553484946608264,0.00743014748639311,0.002717859150319216,0.0030192772339572775,0.0032300421769554007,-2.2176141203517702e-05,0.00033566137237062724,0.0005754717616889078
G24,2,2,0,2116,2116,384,0.21944081783294678,1.2170665210790013,15.875231188970536,0.07705337099550195,False,0.009612814784336322,0.031979442154762255,0.04868850702777554,0.016158024919545048,0.005001135278068101,0.00378653263457721,0.004703063181577236,0.0035712683542737985,9.317548725763375e-05,0.0002798307931951005,0.0004453473313815786
G25,2,2,1,2116,2116,1250,0.21294621378183365,1.1619691860353067,18.26363339042408,0.06773975584148763,False,0.012321116134438285,0.03340933533808831,0.046785044113136644,0.0226456453875143,0.014354832196434434,0.0030766060297622876,0.0026893451488492234,0.003295928883015724,1.3421932891363694e-05,0.00021919361495358956,0.00025334155924081124
G26,2,2,2,2116,2116,2116,0.21022681146860123,1.241549942078636,16.096904787233665,0.10363865096236598,True,0.009515638259283227,0.03769007202137013,0.05290284284777422,0.020080311721423577,0.009970062058774402,0.003957740061723959,0.0037104780356477466,0.00409108954683382,-8.742930780711967e-05,0.0003155449471540592,-0.0007514755911588577
