subvolume_id,n_per_orientation,total_sections,E_median,E_q1,E_q3,E_p05,E_p95,A_ref,A_sparse_median,A_sparse_q1,A_sparse_q3,abs_A_error,eta_sparse_median,phi_rms_median,orientation_reliable,n_attempted,n_valid,n_invalid,valid_fraction
G04,1,3,0.33455884147480924,0.1963870292759935,0.4731602313364472,0.1198969876120375,0.6945746567158629,1.2988752964270673,1.4886050398090265,1.3338050416791836,1.8264628505088276,0.18972974338195914,0.16099986213178186,0.03363877252714633,False,200,200,0,1.0
G04,3,9,0.16921846071090685,0.12656762235438312,0.23683504339458872,0.0838754994536652,0.33396151437846566,1.2988752964270673,1.2875559721011012,1.245388331864866,1.402231611049022,0.011319324325966162,0.3094566935026937,0.01810455028706017,False,200,200,0,1.0
G04,5,15,0.1424499500153762,0.10652421344969375,0.18460199035590757,0.07231819456903019,0.23917016776987643,1.2988752964270673,1.248574833177914,1.22290554623518,1.3033845900883394,0.05030046324915327,0.33174052635014784,0.010746190396016188,False,200,200,0,1.0
G04,7,21,0.12595095000415318,0.09804697940749377,0.15521386702224543,0.07325114694629568,0.1896479518133476,1.2988752964270673,1.243392889757415,1.2168478668937746,1.2883173425392878,0.05548240666965243,0.34431970720953453,0.009254669856886003,False,200,200,0,1.0
G05,1,3,0.3397345917775449,0.22905002984068645,0.5232905830048938,0.14026987271530017,0.9798018774033902,1.0955613671801427,1.4792150856584594,1.2991106350058597,1.802872688870305,0.38365371847831664,0.1782867008026251,0.030534252147575835,False,200,200,0,1.0
G05,3,9,0.2313740269260303,0.16307294270115533,0.32403155152836477,0.08408984399292764,0.4475953815408825,1.0955613671801427,1.2825267004761183,1.1991943458784062,1.436975404667403,0.18696533329597553,0.317373709589853,0.015434096286367018,False,200,200,0,1.0
G05,5,15,0.21372443433119975,0.14656012442586971,0.2710759353404093,0.06344225865925238,0.41805854921838376,1.0955613671801427,1.2362297422409938,1.158115369338816,1.3369385866765497,0.14066837506085106,0.36107423617030143,0.011540597062232316,False,200,200,0,1.0
G05,7,21,0.18771002807358,0.14372589974316916,0.232539651096058,0.08200873746138748,0.29739839558185077,1.0955613671801427,1.2028647370111023,1.1417439586798928,1.275349979677846,0.10730336983095956,0.3689095628773208,0.008923565629869012,False,200,200,0,1.0
G06,1,3,1.1267098462628349,0.6193920480188209,279.1760581216099,0.3198542015000422,304.19104252471254,1.8859755867841839,4.075007901842523,2.122029010865476,9999.999960454741,2.1890323150583386,0.37217322524723573,0.06860334403209528,True,200,200,0,1.0
G06,3,9,0.6418428700209472,0.5685569797720411,0.7728865280889872,0.3864863136476825,1.0413308700522883,1.8859755867841839,1.8434023698136026,1.5975634800191345,2.3189973780841777,0.04257321697058125,0.4730075829740713,0.03645221220539013,True,200,200,0,1.0
G06,5,15,0.6122009256146175,0.5484646201047279,0.6856003643395773,0.4489476456722451,0.8779115307437168,1.8859755867841839,1.6174849692110769,1.4700159940531727,1.9203998328619305,0.268490617573107,0.5001418360252702,0.025065185002655855,True,200,200,0,1.0
G06,7,21,0.6085455057689675,0.5586050275556169,0.6630452947794826,0.5050644283101079,0.7850196379108431,1.8859755867841839,1.6059904928750965,1.4558015026238649,1.8016373467288855,0.2799850939090873,0.5042933540742839,0.020002376321534177,True,200,200,0,1.0
G07,1,3,0.6174360683491776,0.4081781290384562,1.2830684475746859,0.20360165787332027,365.4204155231483,1.1567817304931185,1.9293762793866636,1.5064803645397464,4.249095552049975,0.7725945488935451,0.30080796673218696,0.026830012674015857,False,200,200,0,1.0
G07,3,9,0.3672331966646283,0.2612919219274228,0.5135678797244138,0.17575099788215473,0.9948187927512322,1.1567817304931185,1.5478072032441048,1.3444289710599497,1.9543849114175895,0.3910254727509863,0.4572684556696526,0.0165020105154522,False,200,200,0,1.0
G07,5,15,0.29831475303272237,0.2294767361268023,0.38808640587181814,0.13744347575463023,0.5581193705864409,1.1567817304931185,1.462085170100496,1.2999279520741769,1.6868338964828815,0.3053034396073775,0.48115755975079444,0.012270866514534913,False,200,200,0,1.0
G07,7,21,0.26019918482545235,0.2045803932062504,0.34340825875393977,0.1484008070382612,0.500955437408444,1.1567817304931185,1.4555928788218369,1.3073488223457348,1.641465493847321,0.29881114832871836,0.4944196205497563,0.01025511806758099,False,200,200,0,1.0
G08,1,3,0.541441800619927,0.38385016533717453,0.7324433896685687,0.20971929304397507,358.3281399221975,1.2246297216956876,1.8770851792389815,1.5735994953095545,2.358340218543776,0.6524554575432939,0.24685789961989513,0.039417191788601424,False,200,200,0,1.0
G08,3,9,0.2709777750850475,0.19732734512820815,0.3615495632458127,0.11378748774547406,0.494278587250236,1.2246297216956876,1.31364452402866,1.210738132642143,1.4554797720579562,0.08901480233297243,0.426282372187352,0.018783027678980373,False,200,200,0,1.0
G08,5,15,0.22833579261890388,0.18178410087339467,0.2894617852795133,0.12252863027986662,0.3767620865720606,1.2246297216956876,1.2266367484019347,1.1470404452252443,1.3088026456313995,0.0020070267062470837,0.46178628069948857,0.013484140173517647,False,200,200,0,1.0
G08,7,21,0.19868752816103413,0.15563352634131783,0.25596042759724413,0.10583000043934666,0.3128037876926138,1.2246297216956876,1.1448452719966782,1.1087312884667948,1.240057451189523,0.07978444969900944,0.4711340440326715,0.009003514157227976,False,200,200,0,1.0
G09,1,3,0.38843108152125216,0.2760181390865265,0.5391368386724722,0.16428261566675162,0.843855033964649,1.2409324374792392,1.597402424262313,1.3477579386712786,1.877533551818844,0.35646998678307384,0.18138307259995634,0.03882130695753505,False,200,200,0,1.0
G09,3,9,0.2077984990172309,0.1412078221852303,0.2926055501013908,0.08221418900215456,0.4011077663356365,1.2409324374792392,1.32076024119741,1.2604884671010246,1.3828085959784808,0.07982780371817078,0.3640103491201676,0.01998440818962302,False,200,200,0,1.0
G09,5,15,0.16630481775755546,0.10870551279965912,0.23087004204177214,0.06115057451879261,0.29867098357784394,1.2409324374792392,1.2717814381846146,1.2304426793999952,1.3206365620692182,0.03084900070537544,0.3996867643037062,0.014163156312423424,False,200,200,0,1.0
G09,7,21,0.169380240618839,0.12297756535844909,0.21193107068152958,0.07112837677815606,0.26424958352154326,1.2409324374792392,1.250116577253394,1.2157535919909352,1.2728336510422467,0.009184139774154776,0.41740453429810315,0.011204661298055883,False,200,200,0,1.0
G10,1,3,0.41339743499572507,0.3096361403564626,0.5779634672618423,0.19330730320772657,0.9099552341640554,3.0147934148292204,2.387193590680692,1.9309296264091798,3.252234801597205,0.6275998241485286,0.19802639395306457,0.029951451210082122,True,200,200,0,1.0
G10,3,9,0.44858189448215924,0.35290462033691244,0.5340748191762695,0.22773081466709097,0.6211365707800482,3.0147934148292204,2.0740079099679,1.8305838867187196,2.425238869467927,0.9407855048613203,0.2737071048923694,0.017727681082793142,True,200,200,0,1.0
G10,5,15,0.46308456795140973,0.39525604184362073,0.5037151170579746,0.3168266479936535,0.5622291126852939,3.0147934148292204,1.9992085963004587,1.884508660960812,2.201716467162869,1.0155848185287617,0.29059614305473863,0.012941091583272862,True,200,200,0,1.0
G10,7,21,0.45830214972022343,0.4211121724335532,0.49056312161179766,0.3404683303138428,0.5342201291646811,3.0147934148292204,1.9861990600315744,1.8922395988950114,2.114530055823183,1.028594354797646,0.2972127667785003,0.009941077630412826,True,200,200,0,1.0
G11,1,3,0.3785042616294805,0.26378877048887506,0.488340796936845,0.15479952451692683,0.8876714444567928,1.1417544622740725,1.5473916020323304,1.3880336182099788,1.781164818056953,0.4056371397582579,0.17095913632978987,0.04280187972569698,False,200,200,0,1.0
G11,3,9,0.2051396269123551,0.15678046920859956,0.25637881837335674,0.10561001735986542,0.3585346578160738,1.1417544622740725,1.2840221544200219,1.2089161384693086,1.3628662144077959,0.14226769214594936,0.3041907945252379,0.022583261810361275,False,200,200,0,1.0
G11,5,15,0.15102198594514182,0.12463509359652272,0.18543743104230534,0.10445531516994457,0.25166388686684454,1.1417544622740725,1.2201237236024034,1.1802420218924852,1.269415103798682,0.07836926132833089,0.3177091736598443,0.015830675704850278,False,200,200,0,1.0
G11,7,21,0.1316165226259997,0.11668549998275109,0.15343821225303772,0.09350769980722584,0.19369372886932068,1.1417544622740725,1.1917076491820342,1.1615836716595735,1.225909658697475,0.04995318690796169,0.3267547266165592,0.011898028026927791,False,200,200,0,1.0
